# Matter power spectrum P(k) at redshift z=0
# for k=9.99427e-06 to 4.14551 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.994266526544e-06       5.436154225686e+01 
       2.231706605539e-05       1.181213578108e+02 
       3.467952712444e-05       1.808242416049e+02 
       4.711208579580e-05       2.431006387930e+02 
       5.964563914926e-05       3.053079890838e+02 
       7.231179750599e-05       3.677131102175e+02 
       8.514314406060e-05       4.305432174786e+02 
       9.817350510305e-05       4.940067367364e+02 
       1.114382340378e-04       5.583038712873e+02 
       1.249745124362e-04       6.236329444193e+02 
       1.388216713744e-04       6.901947195838e+02 
       1.530215362894e-04       7.581956841661e+02 
       1.676187984984e-04       8.278508670210e+02 
       1.826614163317e-04       8.993862746927e+02 
       1.982010484685e-04       9.730412247069e+02 
       2.142935214638e-04       1.049070756574e+03 
       2.309993325181e-04       1.127747817021e+03 
       2.483841871421e-04       1.209365564334e+03 
       2.665195693478e-04       1.294239910370e+03 
       2.854833391719e-04       1.382711565035e+03 
       3.053603484602e-04       1.475148459198e+03 
       3.262430606825e-04       1.571947943801e+03 
       3.482321538181e-04       1.673538564358e+03 
       3.714370768278e-04       1.780381670261e+03 
       3.959765197565e-04       1.892972438847e+03 
       4.219787451380e-04       2.011839635657e+03 
       4.495817144764e-04       2.137545226449e+03 
       4.789329290730e-04       2.270681205066e+03 
       5.101888910197e-04       2.411865553926e+03 
       5.435140804429e-04       2.561735262935e+03 
       5.790793428027e-04       2.720937077169e+03 
       6.170595899992e-04       2.890114534518e+03 
       6.576307464478e-04       3.069892398211e+03 
       7.009659207547e-04       3.260857672969e+03 
       7.472308573439e-04       3.463537595300e+03 
       7.965788178177e-04       3.678376472248e+03 
       8.491451496707e-04       3.905711379228e+03 
       9.050419032324e-04       4.145749962119e+03 
       9.643529333887e-04       4.398550017682e+03 
       1.027129946585e-03       4.664007521670e+03 
       1.093389908105e-03       4.941848507973e+03 
       1.163114106101e-03       5.231631345415e+03 
       1.236248992468e-03       5.532757670404e+03 
       1.312708718386e-03       5.844488316715e+03 
       1.381837331894e-03       6.123613364818e+03 
       1.392379094468e-03       6.165954138934e+03 
       1.475122568367e-03       6.496236303638e+03 
       1.560783748221e-03       6.834338984252e+03 
       1.649195010731e-03       7.179237387540e+03 
       1.740181803266e-03       7.529903413514e+03 
       1.833567355522e-03       7.885327517301e+03 
       1.929176632176e-03       8.244536899639e+03 
       2.026839463385e-03       8.606608251390e+03 
