# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.455967196556e-10       4.103783014087e-15       3.391615574053e-13       0.000000000000e+00       7.904295671315e-09       4.948076818439e-10      -1.809233282956e-12 
    3       1.363649613852e-10       5.175611735658e-15       3.839428292000e-13       0.000000000000e+00       4.895496000886e-09       3.493396838322e-10      -1.358681204438e-12 
    4       1.280888089974e-10       4.391166431187e-15       3.596211122370e-13       0.000000000000e+00       3.415817299852e-09       2.635056158899e-10      -8.749569946457e-13 
    5       1.219817546277e-10       2.871852926057e-15       3.060877013906e-13       0.000000000000e+00       2.553684885880e-09       2.074900673047e-10      -4.723624212545e-13 
    6       1.177816247461e-10       1.583612253826e-15       2.462950892903e-13       0.000000000000e+00       1.996071414592e-09       1.684691328404e-10      -1.805577861955e-13 
    7       1.150616337102e-10       8.613089902245e-16       1.934378636609e-13       0.000000000000e+00       1.610208767103e-09       1.399946687566e-10       7.760807368474e-16 
    8       1.133817695986e-10       5.700217866467e-16       1.532168683427e-13       0.000000000000e+00       1.330097492567e-09       1.184189989752e-10       8.855423823800e-14 
    9       1.124969760230e-10       4.623493033321e-16       1.267431994563e-13       0.000000000000e+00       1.119566930654e-09       1.016305759337e-10       1.078448055552e-13 
   10       1.122516721361e-10       3.911320637841e-16       1.124508171636e-13       0.000000000000e+00       9.571333065909e-10       8.836023055208e-11       8.563633932750e-14 
   11       1.124131687571e-10       3.272855193609e-16       1.076472665582e-13       0.000000000000e+00       8.093842316182e-10       7.796262507056e-11       4.635415080612e-14 
   12       1.129401920874e-10       2.877927307366e-16       1.093826493279e-13       0.000000000000e+00       7.074104094838e-10       6.905602529508e-11       7.286064347643e-15 
   13       1.137341776461e-10       2.799572166826e-16       1.150183126222e-13       0.000000000000e+00       6.236558882253e-10       6.146161812711e-11      -2.097958589165e-14 
   14       1.147286056000e-10       2.940238658710e-16       1.226239645799e-13       0.000000000000e+00       5.539471016644e-10       5.513861143787e-11      -3.451185676248e-14 
   15       1.159331449428e-10       3.198609010862e-16       1.309209586738e-13       0.000000000000e+00       4.952593082564e-10       4.980594156257e-11      -3.495182275320e-14 
   16       1.172531074451e-10       3.572759491051e-16       1.393420935877e-13       0.000000000000e+00       4.453451877423e-10       4.510895618939e-11      -2.708149862450e-14 
   17       1.187444926108e-10       4.119906392032e-16       1.478929189601e-13       0.000000000000e+00       4.025134127716e-10       4.103364880187e-11      -1.601878668856e-14 
   18       1.203163532829e-10       4.878559208394e-16       1.566526749210e-13       0.000000000000e+00       3.653289405986e-10       3.745448464401e-11      -6.478335463271e-15 
   19       1.219751988418e-10       5.845781865920e-16       1.658090839603e-13       0.000000000000e+00       3.332032608680e-10       3.433706962270e-11      -6.572966284538e-16 
   20       1.237211959884e-10       7.000307802540e-16       1.755484504920e-13       0.000000000000e+00       3.049037373152e-10       3.161240435629e-11       3.362625744600e-16 
   21       1.255486386725e-10       8.339077003068e-16       1.857798910599e-13       0.000000000000e+00       2.799876669504e-10       2.921738450329e-11      -2.520618869753e-15 
   22       1.274208538290e-10       9.862162195270e-16       1.962446805773e-13       0.000000000000e+00       2.578597358541e-10       2.705570300885e-11      -7.150940976290e-15 
   23       1.293519303012e-10       1.157124547168e-15       2.066065158540e-13       0.000000000000e+00       2.382166289745e-10       2.512276795743e-11      -1.179087794083e-14 
   24       1.313494577469e-10       1.346734191571e-15       2.164623823884e-13       0.000000000000e+00       2.206054051429e-10       2.341262511817e-11      -1.475354355429e-14 
   25       1.334112626175e-10       1.555455679890e-15       2.255167967856e-13       0.000000000000e+00       2.048196757236e-10       2.187519613039e-11      -1.562643565543e-14 
   26       1.355163708969e-10       1.784014306189e-15       2.335265211316e-13       0.000000000000e+00       1.905745809710e-10       2.043809178716e-11      -1.456969010738e-14 
   27       1.376594319259e-10       2.034474177665e-15       2.404556782031e-13       0.000000000000e+00       1.777002485601e-10       1.910844819913e-11      -1.230199844664e-14 
   28       1.398309206415e-10       2.309290291319e-15       2.463543425012e-13       0.000000000000e+00       1.659757779759e-10       1.790733712716e-11      -9.788625918143e-15 
   29       1.420398077372e-10       2.609873246227e-15       2.512753587224e-13       0.000000000000e+00       1.553413898911e-10       1.683177603912e-11      -7.600447143673e-15 
   30       1.442892455968e-10       2.937279423773e-15       2.553004447984e-13       0.000000000000e+00       1.456826705950e-10       1.585876997694e-11      -6.271603610085e-15 
   31       1.465719562198e-10       3.292486557921e-15       2.585094770604e-13       0.000000000000e+00       1.368024628067e-10       1.495648508755e-11      -6.256068729777e-15 
   32       1.488919586078e-10       3.676363939267e-15       2.608309285241e-13       0.000000000000e+00       1.286551839818e-10       1.411982381018e-11      -7.243522235182e-15 
   33       1.512483059197e-10       4.089675789208e-15       2.621338929260e-13       0.000000000000e+00       1.211837166178e-10       1.334647990667e-11      -8.570243352054e-15 
   34       1.536325121157e-10       4.533156279954e-15       2.622775021713e-13       0.000000000000e+00       1.142840393704e-10       1.262974227375e-11      -9.542504854518e-15 
   35       1.560440739805e-10       5.007775292383e-15       2.611550826914e-13       0.000000000000e+00       1.079209413755e-10       1.196804026655e-11      -9.997065979249e-15 
   36       1.584785553635e-10       5.514559838672e-15       2.586638150429e-13       0.000000000000e+00       1.020433553916e-10       1.135782309427e-11      -9.932345272939e-15 
   37       1.609278028768e-10       6.054483523794e-15       2.547110922479e-13       0.000000000000e+00       9.657478382341e-11       1.079267529522e-11      -9.386168270249e-15 
   38       1.633979977838e-10       6.628332475061e-15       2.492784524648e-13       0.000000000000e+00       9.150113567851e-11       1.027051092917e-11      -8.517934564402e-15 
   39       1.658964451194e-10       7.236788939313e-15       2.423794310423e-13       0.000000000000e+00       8.680637649250e-11       9.788163644499e-12      -7.558220506477e-15 
   40       1.684260936977e-10       7.880461053632e-15       2.340436449741e-13       0.000000000000e+00       8.244581219127e-11       9.339093586707e-12      -6.791163404544e-15 
   41       1.709866677082e-10       8.559932064760e-15       2.242996081357e-13       0.000000000000e+00       7.836167190551e-11       8.915489843202e-12      -6.476296319005e-15 
   42       1.735797224450e-10       9.275938744608e-15       2.131142044577e-13       0.000000000000e+00       7.454196784308e-11       8.516089998509e-12      -6.575283441766e-15 
   43       1.762043816486e-10       1.002924301213e-14       2.004350827049e-13       0.000000000000e+00       7.097658792083e-11       8.140423635560e-12      -6.941945488425e-15 
   44       1.788554544970e-10       1.082058190152e-14       1.862067680211e-13       0.000000000000e+00       6.763963220985e-11       7.786522772799e-12      -7.393974074239e-15 
   45       1.815262325055e-10       1.165061987804e-14       1.703759296660e-13       0.000000000000e+00       6.449866930533e-11       7.451768740232e-12      -7.755758582949e-15 
   46       1.842188068360e-10       1.251979134082e-14       1.529098003207e-13       0.000000000000e+00       6.154876734912e-11       7.136023011746e-12      -8.007347014857e-15 
   47       1.869361644981e-10       1.342840919042e-14       1.337827306210e-13       0.000000000000e+00       5.878649885314e-11       6.839224268092e-12      -8.176256131269e-15 
   48       1.896790596091e-10       1.437670367092e-14       1.129710942344e-13       0.000000000000e+00       5.619967610628e-11       6.560435650322e-12      -8.296671016451e-15 
   49       1.924458027465e-10       1.536481860206e-14       9.045329604968e-14       0.000000000000e+00       5.376669971550e-11       6.297778240702e-12      -8.409827061395e-15 
   50       1.952339047142e-10       1.639285318727e-14       6.620699249581e-14       0.000000000000e+00       5.146306495321e-11       6.049028425352e-12      -8.554964754836e-15 
   51       1.980460225503e-10       1.746100955790e-14       4.019984400781e-14       0.000000000000e+00       4.928447421485e-11       5.813755462482e-12      -8.738413387130e-15 
   52       2.008852633781e-10       1.856947876516e-14       1.239626657673e-14       0.000000000000e+00       4.722887209015e-11       5.591649150576e-12      -8.956775749630e-15 
   53       2.037533506010e-10       1.971839711987e-14      -1.724011985707e-14       0.000000000000e+00       4.528952871858e-11       5.381872217548e-12      -9.205561684798e-15 
   54       2.066505005207e-10       2.090784456931e-14      -4.874661440927e-14       0.000000000000e+00       4.345472516848e-11       5.183025043145e-12      -9.479126437374e-15 
   55       2.095761876707e-10       2.213784614947e-14      -8.215443703218e-14       0.000000000000e+00       4.171132885324e-11       4.993576257450e-12      -9.770192440383e-15 
   56       2.125319461120e-10       2.340838048269e-14      -1.174654162167e-13       0.000000000000e+00       4.005728066885e-11       4.813360619136e-12      -1.006841678825e-14 
   57       2.155190479276e-10       2.471937054795e-14      -1.546697254687e-13       0.000000000000e+00       3.849165884613e-11       4.642391450856e-12      -1.036135991048e-14 
   58       2.185375886544e-10       2.607067931981e-14      -1.937523460540e-13       0.000000000000e+00       3.701090118649e-11       4.480410610927e-12      -1.063479477400e-14 
   59       2.215863985277e-10       2.746210826512e-14      -2.346929125537e-13       0.000000000000e+00       3.560864200086e-11       4.326871366761e-12      -1.087262900453e-14 
   60       2.246629537245e-10       2.889339583963e-14      -2.774655584188e-13       0.000000000000e+00       3.427554904869e-11       4.180921268286e-12      -1.105682700791e-14 
   61       2.277645870783e-10       3.036417886713e-14      -3.220447253416e-13       0.000000000000e+00       3.300191452316e-11       4.041647442986e-12      -1.117167236108e-14 
   62       2.308926385785e-10       3.187386994753e-14      -3.684244645372e-13       0.000000000000e+00       3.178647650152e-11       3.908915566044e-12      -1.121784917353e-14 
   63       2.340490832355e-10       3.342174973882e-14      -4.166032134927e-13       0.000000000000e+00       3.062929722057e-11       3.782689671666e-12      -1.120139762587e-14 
   64       2.372352672358e-10       3.500699901850e-14      -4.665782485429e-13       0.000000000000e+00       2.952910957720e-11       3.662777722990e-12      -1.112971125724e-14 
   65       2.404518604166e-10       3.662869600257e-14      -5.183457196522e-13       0.000000000000e+00       2.848324145120e-11       3.548822811947e-12      -1.101159680008e-14 
   66       2.436988087413e-10       3.828581366449e-14      -5.719006851973e-13       0.000000000000e+00       2.748754002805e-11       3.440294359132e-12      -1.085733401503e-14 
   67       2.469752867748e-10       3.997721705415e-14      -6.272371467495e-13       0.000000000000e+00       2.653629612169e-11       3.336479313667e-12      -1.067873552572e-14 
   68       2.502803672683e-10       4.170175383046e-14      -6.843454416331e-13       0.000000000000e+00       2.562376840200e-11       3.236669438767e-12      -1.048718345229e-14 
   69       2.536152936959e-10       4.345855315394e-14      -7.432037293343e-13       0.000000000000e+00       2.474928387988e-11       3.140786906526e-12      -1.028714359511e-14 
   70       2.569815849340e-10       4.524678281954e-14      -8.037848345730e-13       0.000000000000e+00       2.391303971343e-11       3.048870238589e-12      -1.008143850553e-14 
   71       2.603803302328e-10       4.706556110994e-14      -8.660587046878e-13       0.000000000000e+00       2.311456061044e-11       2.960885718998e-12      -9.873162353158e-15 
   72       2.638121600322e-10       4.891395649847e-14      -9.299923768416e-13       0.000000000000e+00       2.235266406946e-11       2.876723609037e-12      -9.665689016365e-15 
   73       2.672772167772e-10       5.079098735201e-14      -9.955499452287e-13       0.000000000000e+00       2.162542562090e-11       2.796194362078e-12      -9.462680172847e-15 
   74       2.707751257337e-10       5.269562163400e-14      -1.062692528280e-12       0.000000000000e+00       2.093014406802e-11       2.719024838424e-12      -9.268093390166e-15 
   75       2.743049658040e-10       5.462677660733e-14      -1.131378235872e-12       0.000000000000e+00       2.026330672808e-11       2.644854520159e-12      -9.086190216302e-15 
   76       2.778657884854e-10       5.658328669556e-14      -1.201564119741e-12       0.000000000000e+00       1.962146101527e-11       2.573327589908e-12      -8.920695132087e-15 
   77       2.814583485131e-10       5.856380095721e-14      -1.273212507845e-12       0.000000000000e+00       1.900408951638e-11       2.504396919325e-12      -8.772077461498e-15 
   78       2.850836372524e-10       6.056686628887e-14      -1.346285770892e-12       0.000000000000e+00       1.841119848495e-11       2.438068895058e-12      -8.639786200664e-15 
   79       2.887423448993e-10       6.259095667366e-14      -1.420744449349e-12       0.000000000000e+00       1.784244209857e-11       2.374310682622e-12      -8.523046013395e-15 
   80       2.924348425360e-10       6.463447223124e-14      -1.496547261312e-12       0.000000000000e+00       1.729710628528e-11       2.313048407008e-12      -8.420847909462e-15 
   81       2.961611641868e-10       6.669573826786e-14      -1.573651110385e-12       0.000000000000e+00       1.677409254989e-11       2.254165333304e-12      -8.331939922885e-15 
   82       2.999209888738e-10       6.877300432626e-14      -1.652011093552e-12       0.000000000000e+00       1.627190180030e-11       2.197500047297e-12      -8.254817790208e-15 
   83       3.037136226725e-10       7.086444323579e-14      -1.731580509049e-12       0.000000000000e+00       1.578861817387e-11       2.142844636091e-12      -8.187715628788e-15 
   84       3.075383382775e-10       7.296820621398e-14      -1.812310819657e-12       0.000000000000e+00       1.532237435538e-11       2.089996122483e-12      -8.128824345543e-15 
