#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.001071368421e-02       1.560347676810e-07      -1.192535809218e+00       2.083126099819e-02       3.996566339666e-10       9.991415849165e-10       1.078258524283e-17       1.998283169833e-10      -8.944018569134e-01       2.083126099819e-02       6.108449686031e-01       7.021094064456e-01      -1.192535809218e+00       2.082671656734e-02       1.946870000522e-04      -1.192535809218e+00       2.082671656990e-02      -8.944018569134e-01       2.082671657031e-02      -8.944018569135e-01       2.084079141113e-02 
       7.001072682136e-02       1.560347969646e-07      -1.192535821471e+00       2.083126510680e-02       3.996568628017e-10       9.991421570043e-10       1.078259546393e-17       1.998284314009e-10      -8.944018661033e-01       2.083126510680e-02       6.108449656881e-01       7.021094034736e-01      -1.192535821471e+00       2.082672067339e-02       1.946870730056e-04      -1.192535821471e+00       2.082672067852e-02      -8.944018661032e-01       2.082672067889e-02      -8.944018661035e-01       2.084079552510e-02 
       7.001073995852e-02       1.560348262482e-07      -1.192535833724e+00       2.083126921541e-02       3.996570916369e-10       9.991427290922e-10       1.078260568504e-17       1.998285458184e-10      -8.944018752930e-01       2.083126921541e-02       6.108449627731e-01       7.021094005015e-01      -1.192535833724e+00       2.082672477944e-02       1.946871459589e-04      -1.192535833724e+00       2.082672478713e-02      -8.944018752929e-01       2.082672478750e-02      -8.944018752934e-01       2.084079963907e-02 
       7.001085299636e-02       1.560350782172e-07      -1.192535939154e+00       2.083130456767e-02       3.996590606389e-10       9.991476515973e-10       1.078269363226e-17       1.998295303195e-10      -8.944019543658e-01       2.083130456767e-02       6.108449376912e-01       7.021093749289e-01      -1.192535939153e+00       2.082676010969e-02       1.946877736822e-04      -1.192535939153e+00       2.082676013946e-02      -8.944019543651e-01       2.082676013982e-02      -8.944019543672e-01       2.084083503750e-02 
       7.001096603420e-02       1.560353301861e-07      -1.192536044584e+00       2.083133991994e-02       3.996610296474e-10       9.991525741186e-10       1.078278158005e-17       1.998305148237e-10      -8.944020334382e-01       2.083133991994e-02       6.108449126094e-01       7.021093493563e-01      -1.192536044583e+00       2.082679543994e-02       1.946884014066e-04      -1.192536044583e+00       2.082679549179e-02      -8.944020334370e-01       2.082679549215e-02      -8.944020334408e-01       2.084087043593e-02 
       7.001107907204e-02       1.560355821551e-07      -1.192536150014e+00       2.083137527220e-02       3.996629986623e-10       9.991574966558e-10       1.078286952841e-17       1.998314993312e-10      -8.944021125103e-01       2.083137527220e-02       6.108448875277e-01       7.021093237838e-01      -1.192536150011e+00       2.082683077019e-02       1.946890291320e-04      -1.192536150011e+00       2.082683084411e-02      -8.944021125085e-01       2.082683084447e-02      -8.944021125139e-01       2.084090583435e-02 
       7.001119210988e-02       1.560358341240e-07      -1.192536255442e+00       2.083141062446e-02       3.996649676836e-10       9.991624192089e-10       1.078295747734e-17       1.998324838418e-10      -8.944021915818e-01       2.083141062446e-02       6.108448624461e-01       7.021092982116e-01      -1.192536255439e+00       2.082686610044e-02       1.946896568585e-04      -1.192536255439e+00       2.082686619643e-02      -8.944021915796e-01       2.082686619679e-02      -8.944021915865e-01       2.084094123277e-02 
       7.001232248830e-02       1.560383538136e-07      -1.192537309695e+00       2.083176414672e-02       3.996846582457e-10       9.992116456143e-10       1.078383699807e-17       1.998423291229e-10      -8.944029822716e-01       2.083176414672e-02       6.108446116376e-01       7.021090424975e-01      -1.192537309686e+00       2.082721940255e-02       1.946959341820e-04      -1.192537309686e+00       2.082721971928e-02      -8.944029822642e-01       2.082721971965e-02      -8.944029822871e-01       2.084129521664e-02 
       7.001345286671e-02       1.560408735032e-07      -1.192538363886e+00       2.083211766841e-02       3.997043494437e-10       9.992608736092e-10       1.078471657590e-17       1.998521747218e-10      -8.944037729143e-01       2.083211766841e-02       6.108443608424e-01       7.021087867993e-01      -1.192538363869e+00       2.082757270410e-02       1.947022116120e-04      -1.192538363869e+00       2.082757324158e-02      -8.944037729018e-01       2.082757324194e-02      -8.944037729406e-01       2.084164919996e-02 
       7.001458324513e-02       1.560433931927e-07      -1.192539418013e+00       2.083247118954e-02       3.997240412775e-10       9.993101031936e-10       1.078559621083e-17       1.998620206387e-10      -8.944045635099e-01       2.083247118954e-02       6.108441100605e-01       7.021085311168e-01      -1.192539417990e+00       2.082792600507e-02       1.947084891483e-04      -1.192539417990e+00       2.082792676331e-02      -8.944045634923e-01       2.082792676368e-02      -8.944045635469e-01       2.084200318273e-02 
       7.001571362355e-02       1.560459128823e-07      -1.192540472078e+00       2.083282471011e-02       3.997437337471e-10       9.993593343677e-10       1.078647590286e-17       1.998718668735e-10      -8.944053540584e-01       2.083282471011e-02       6.108438592918e-01       7.021082754503e-01      -1.192540472048e+00       2.082827930548e-02       1.947147667911e-04      -1.192540472048e+00       2.082828028448e-02      -8.944053540357e-01       2.082828028484e-02      -8.944053541062e-01       2.084235716496e-02 
       7.002566636097e-02       1.560680982048e-07      -1.192549750181e+00       2.083593735793e-02       3.999171491293e-10       9.997928728232e-10       1.079422386610e-17       1.999585745646e-10      -8.944123126357e-01       2.083593735793e-02       6.108416518997e-01       7.021060250442e-01      -1.192549750090e+00       2.083139001451e-02       1.947700446721e-04      -1.192549750090e+00       2.083139293760e-02      -8.944123125676e-01       2.083139293796e-02      -8.944123127783e-01       2.084547387823e-02 
       7.003561909839e-02       1.560902835284e-07      -1.192559023432e+00       2.083904996234e-02       4.000906138163e-10       1.000226534541e-09       1.080197625838e-17       2.000453069081e-10      -8.944192675743e-01       2.083904996234e-02       6.108394455322e-01       7.021037758614e-01      -1.192559023281e+00       2.083450067958e-02       1.948253308040e-04      -1.192559023281e+00       2.083450554731e-02      -8.944192674611e-01       2.083450554767e-02      -8.944192678119e-01       2.084859054925e-02 
       7.004557183581e-02       1.561124688532e-07      -1.192568291848e+00       2.084216252359e-02       4.002641278196e-10       1.000660319549e-09       1.080973308171e-17       2.001320639098e-10      -8.944262188862e-01       2.084216252359e-02       6.108372401860e-01       7.021015278978e-01      -1.192568291637e+00       2.083761130094e-02       1.948806251868e-04      -1.192568291637e+00       2.083761811385e-02      -8.944262187277e-01       2.083761811422e-02      -8.944262192188e-01       2.085170717826e-02 
       7.005552457322e-02       1.561346541793e-07      -1.192577555444e+00       2.084527504191e-02       4.004376911507e-10       1.001094227877e-09       1.081749433813e-17       2.002188455754e-10      -8.944331665829e-01       2.084527504191e-02       6.108350358577e-01       7.020992811496e-01      -1.192577555172e+00       2.084072187882e-02       1.949359278204e-04      -1.192577555172e+00       2.084073063748e-02      -8.944331663792e-01       2.084073063785e-02      -8.944331670105e-01       2.085482376550e-02 
       7.007592137685e-02       1.561801200407e-07      -1.192596524951e+00       2.085165359876e-02       4.007935401559e-10       1.001983850390e-09       1.083341385497e-17       2.003967700780e-10      -8.944473937136e-01       2.085165359876e-02       6.108305215478e-01       7.020946805200e-01      -1.192596524556e+00       2.084709645728e-02       1.950492889483e-04      -1.192596524556e+00       2.084710920520e-02      -8.944473934172e-01       2.084710920557e-02      -8.944473943361e-01       2.086121066466e-02 
       7.009631818047e-02       1.562255859081e-07      -1.192615474424e+00       2.085803197871e-02       4.011495964849e-10       1.002873991212e-09       1.084935201633e-17       2.005747982425e-10      -8.944616058179e-01       2.085803197871e-02       6.108260114688e-01       7.020900849426e-01      -1.192615473904e+00       2.085347085652e-02       1.951626847272e-04      -1.192615473905e+00       2.085348759603e-02      -8.944616054288e-01       2.085348759640e-02      -8.944616066354e-01       2.086759739177e-02 
       7.011671498410e-02       1.562710517816e-07      -1.192634403945e+00       2.086441018298e-02       4.015058602188e-10       1.003764650547e-09       1.086530883911e-17       2.007529301094e-10      -8.944758029590e-01       2.086441018298e-02       6.108215056034e-01       7.020854943963e-01      -1.192634403302e+00       2.085984507776e-02       1.952761151561e-04      -1.192634403303e+00       2.085986581119e-02      -8.944758024773e-01       2.085986581156e-02      -8.944758039717e-01       2.087398394806e-02 
       7.013711178772e-02       1.563165176608e-07      -1.192653313456e+00       2.087078821012e-02       4.018623313843e-10       1.004655828461e-09       1.088128433870e-17       2.009311656922e-10      -8.944899850917e-01       2.087078821012e-02       6.108170039657e-01       7.020809088962e-01      -1.192653312688e+00       2.086621911956e-02       1.953895802338e-04      -1.192653312690e+00       2.086624384923e-02      -8.944899845173e-01       2.086624384959e-02      -8.944899862998e-01       2.088037033206e-02 
       7.015750859135e-02       1.563619835455e-07      -1.192672202878e+00       2.087716605836e-02       4.022190100018e-10       1.005547525004e-09       1.089727853028e-17       2.011095050009e-10      -8.945041521586e-01       2.087716605836e-02       6.108125065734e-01       7.020763284614e-01      -1.192672201986e+00       2.087259298015e-02       1.955030799596e-04      -1.192672201989e+00       2.087262170838e-02      -8.945041514914e-01       2.087262170874e-02      -8.945041535621e-01       2.088675654204e-02 
       7.023880493452e-02       1.565431987574e-07      -1.192747290291e+00       2.090258469071e-02       4.036426997163e-10       1.009106749291e-09       1.096121323526e-17       2.018213498581e-10      -8.945604677185e-01       2.090258469071e-02       6.107946236286e-01       7.020581226983e-01      -1.192747288902e+00       2.089799569575e-02       1.959558045242e-04      -1.192747288909e+00       2.089804038429e-02      -8.945604666819e-01       2.089804038466e-02      -8.945604699030e-01       2.091220855037e-02 
       7.032010127769e-02       1.567244140271e-07      -1.192822054107e+00       2.092800037106e-02       4.050696872260e-10       1.012674218065e-09       1.102544610527e-17       2.025348436130e-10      -8.946165405801e-01       2.092800037106e-02       6.107768091846e-01       7.020399985233e-01      -1.192822052220e+00       2.092339542251e-02       1.964090794296e-04      -1.192822052232e+00       2.092345610836e-02      -8.946165391741e-01       2.092345610873e-02      -8.946165435484e-01       2.093765768400e-02 
       7.040139762086e-02       1.569056293395e-07      -1.192896492402e+00       2.095341304188e-02       4.064999748877e-10       1.016249937219e-09       1.108997813650e-17       2.032499874438e-10      -8.946723693014e-01       2.095341304188e-02       6.107590637230e-01       7.020219564172e-01      -1.192896490015e+00       2.094879210286e-02       1.968629046098e-04      -1.192896490035e+00       2.094886882303e-02      -8.946723675260e-01       2.094886882340e-02      -8.946723730562e-01       2.096310388547e-02 
       7.048269396403e-02       1.570868446855e-07      -1.192970604800e+00       2.097882267422e-02       4.079335656354e-10       1.019833914089e-09       1.115481034384e-17       2.039667828177e-10      -8.947279536004e-01       2.097882267422e-02       6.107413873876e-01       7.020039964738e-01      -1.192970601912e+00       2.097418570782e-02       1.973172799973e-04      -1.192970601941e+00       2.097427849937e-02      -8.947279514555e-01       2.097427849975e-02      -8.947279581443e-01       2.098854712593e-02 
       7.056399030719e-02       1.572680600627e-07      -1.193044392488e+00       2.100422926818e-02       4.093704629954e-10       1.023426157489e-09       1.121994376145e-17       2.046852314977e-10      -8.947832943658e-01       2.100422926818e-02       6.107237799802e-01       7.019861183967e-01      -1.193044389095e+00       2.099957623742e-02       1.977722055248e-04      -1.193044389135e+00       2.099968513747e-02      -8.947832918515e-01       2.099968513785e-02      -8.947832997017e-01       2.101398740556e-02 
       7.064528665036e-02       1.574492754750e-07      -1.193117858222e+00       2.102963285325e-02       4.108106711007e-10       1.027026677752e-09       1.128537944343e-17       2.054053355503e-10      -8.948383936664e-01       2.102963285325e-02       6.107062409579e-01       7.019683214964e-01      -1.193117854324e+00       2.102496372112e-02       1.982276811249e-04      -1.193117854377e+00       2.102508876683e-02      -8.948383907827e-01       2.102508876721e-02      -8.948383997970e-01       2.103942475395e-02 
       7.087355975981e-02       1.579581130006e-07      -1.193322465635e+00       2.110094846071e-02       4.148723939145e-10       1.037180984786e-09       1.147074242324e-17       2.074361969573e-10      -8.949918492264e-01       2.110094846071e-02       6.106573495539e-01       7.019187725230e-01      -1.193322460310e+00       2.109623391907e-02       1.995095574806e-04      -1.193322460407e+00       2.109640449942e-02      -8.949918453054e-01       2.109640449981e-02      -8.949918576031e-01       2.111083558178e-02 
