# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.454904929245e-10       4.137629379744e-15       3.399442888829e-13       2.227640139297e-19       7.890911752588e-09       4.947420853308e-10      -1.820512662092e-12 
    3       1.362757866527e-10       5.228852578617e-15       3.858392759071e-13       4.456202905389e-19       4.910568312354e-09       3.489711198530e-10      -1.366413505381e-12 
    4       1.280138638506e-10       4.440113556433e-15       3.614535011530e-13       7.429037280278e-19       3.423234064992e-09       2.631679216141e-10      -8.805403657498e-13 
    5       1.219146078296e-10       2.905713524424e-15       3.076427677997e-13       1.114732427636e-18       2.556769701653e-09       2.072129699921e-10      -4.758120977446e-13 
    6       1.177178559856e-10       1.603224561278e-15       2.474957505269e-13       1.561249902411e-18       1.996493935811e-09       1.682243837693e-10      -1.822133756133e-13 
    7       1.149997479322e-10       8.724497451246e-16       1.942896483347e-13       2.082622515642e-18       1.610099219082e-09       1.397893867398e-10       3.669175795590e-16 
    8       1.133232247149e-10       5.779598874399e-16       1.537623946330e-13       2.679036579455e-18       1.330978846074e-09       1.182666587993e-10       8.884400898928e-14 
    9       1.124421136976e-10       4.696550951599e-16       1.270539458670e-13       3.350695197423e-18       1.121421976202e-09       1.015259589215e-10       1.083870052996e-13 
   10       1.121977910849e-10       3.984322551746e-16       1.126034846883e-13       4.097814941132e-18       9.590175509740e-10       8.828027090368e-11       8.613512661948e-14 
   11       1.123633750689e-10       3.346633833621e-16       1.076885948671e-13       4.920622453509e-18       8.094020273161e-10       7.789563672649e-11       4.666479435545e-14 
   12       1.128911668652e-10       2.954511146349e-16       1.093817006043e-13       5.819351071507e-18       7.074128569006e-10       6.898612418271e-11       7.365159015760e-15 
   13       1.136853760340e-10       2.881398312834e-16       1.150105992761e-13       6.794237557314e-18       6.236464912584e-10       6.139762107634e-11      -2.109333993475e-14 
   14       1.146841971016e-10       3.028775670480e-16       1.225772227881e-13       7.845519020882e-18       5.539290056416e-10       5.508004377001e-11      -3.476211600987e-14 
   15       1.158894178149e-10       3.294686958654e-16       1.308198561558e-13       8.973430107467e-18       4.952345398083e-10       4.974309790216e-11      -3.527630880903e-14 
   16       1.172092839694e-10       3.676019991170e-16       1.392432334283e-13       1.017820051239e-17       4.453151266301e-10       4.505148146252e-11      -2.737644447333e-14 
   17       1.187058253121e-10       4.230160259095e-16       1.477424909864e-13       1.146005287185e-17       4.024792618920e-10       4.098212797449e-11      -1.619839523947e-14 
   18       1.202789538479e-10       4.998353234501e-16       1.564453009825e-13       1.281920090273e-17       3.652911310693e-10       3.740774976553e-11      -6.496830170517e-15 
   19       1.219360223062e-10       5.977375515724e-16       1.655659905302e-13       1.425584893823e-17       3.331636366322e-10       3.429431216129e-11      -5.328439767521e-16 
   20       1.236826838915e-10       7.144396657939e-16       1.752873989245e-13       1.577018929585e-17       3.048625434285e-10       3.157257555120e-11       5.116212380380e-16 
   21       1.255122078513e-10       8.496370802579e-16       1.855060256434e-13       1.736240437198e-17       2.799450360406e-10       2.918157829471e-11      -2.393678400902e-15 
   22       1.273849650841e-10       1.003355092970e-15       1.959489619027e-13       1.903266376880e-17       2.578161463724e-10       2.702707308467e-11      -7.143303686632e-15 
   23       1.293158980116e-10       1.175576361629e-15       2.062881483811e-13       2.078112773380e-17       2.381724988730e-10       2.509982922012e-11      -1.191036860018e-14 
   24       1.313146180836e-10       1.366229971470e-15       2.161321660604e-13       2.260794423462e-17       2.205609517462e-10       2.338832510245e-11      -1.493480552504e-14 
   25       1.333789970141e-10       1.576099770138e-15       2.251671956357e-13       2.451325398274e-17       2.047750480703e-10       2.184765453661e-11      -1.579670137556e-14 
   26       1.354873101035e-10       1.806363101257e-15       2.331302432981e-13       2.649718691188e-17       1.905299027725e-10       2.041304794787e-11      -1.467730508997e-14 
   27       1.376331249906e-10       2.058724623594e-15       2.400214904832e-13       2.855986704029e-17       1.776556433672e-10       1.908862913066e-11      -1.233536635072e-14 
   28       1.398058393064e-10       2.335070396055e-15       2.459358288185e-13       3.070141005268e-17       1.659313741448e-10       1.788961267372e-11      -9.779957006265e-15 
   29       1.420145612084e-10       2.636838804294e-15       2.508982580404e-13       3.292193141593e-17       1.552972924754e-10       1.681336734885e-11      -7.583506365305e-15 
   30       1.442630992643e-10       2.965346335021e-15       2.549298208936e-13       3.522153946071e-17       1.456389497993e-10       1.583964936900e-11      -6.265672686135e-15 
   31       1.465448928841e-10       3.321835740864e-15       2.580592854818e-13       3.760033533964e-17       1.367591555364e-10       1.493927128294e-11      -6.264239961184e-15 
   32       1.488641250190e-10       3.707171200976e-15       2.602659608532e-13       4.005842352066e-17       1.286123173305e-10       1.410635613423e-11      -7.263607097016e-15 
   33       1.512198503503e-10       4.122012967900e-15       2.615158479778e-13       4.259590488923e-17       1.211413185000e-10       1.333643689915e-11      -8.597591006274e-15 
   34       1.536036665181e-10       4.566995911480e-15       2.617519622424e-13       4.521287551161e-17       1.142421410186e-10       1.262072770365e-11      -9.570037459006e-15 
   35       1.560155352210e-10       5.043116169742e-15       2.608100679818e-13       4.790943218518e-17       1.078795689559e-10       1.195793198837e-11      -1.001707130955e-14 
   36       1.584516821904e-10       5.551474416464e-15       2.584701397706e-13       5.068566882161e-17       1.020025294087e-10       1.134566177025e-11      -9.937138740357e-15 
   37       1.609044640618e-10       6.093106695680e-15       2.545297676631e-13       5.354167482079e-17       9.653452071070e-11       1.077871116489e-11      -9.369034660883e-15 
   38       1.633794655282e-10       6.668754544628e-15       2.489886813356e-13       5.647753438720e-17       9.146144588480e-11       1.025532845954e-11      -8.476551422917e-15 
   39       1.658829153971e-10       7.279012027348e-15       2.419259211615e-13       5.949332702771e-17       8.676726539455e-11       9.772436688168e-12      -7.496520366831e-15 
   40       1.684164424087e-10       7.924379563015e-15       2.334530138291e-13       6.258912775725e-17       8.240728226671e-11       9.323587102893e-12      -6.720634600660e-15 
   41       1.709786040407e-10       8.605342478030e-15       2.236739882963e-13       6.576500480122e-17       7.832372408756e-11       8.901004059220e-12      -6.414574667409e-15 
   42       1.735713262322e-10       9.322651871750e-15       2.125449543463e-13       6.902101176346e-17       7.450459949311e-11       8.503210050079e-12      -6.535365075225e-15 
   43       1.761946814641e-10       1.007712506106e-14       1.999721833618e-13       7.235719293654e-17       7.093979350708e-11       8.129399920147e-12      -6.927858997219e-15 
   44       1.788446448899e-10       1.086956871077e-14       1.858492824565e-13       7.577358525578e-17       6.760340513750e-11       7.777198960471e-12      -7.398867342934e-15 
   45       1.815155949133e-10       1.170071005637e-14       1.700752763094e-13       7.927021516982e-17       6.446300301499e-11       7.443610665757e-12      -7.763019666946e-15 
   46       1.842096052206e-10       1.257096656818e-14       1.526173841513e-13       8.284708847746e-17       6.151365353716e-11       7.128496095523e-12      -8.002172524426e-15 
   47       1.869292818799e-10       1.348060705394e-14       1.334655054229e-13       8.650419720626e-17       5.875192801467e-11       6.831919443610e-12      -8.149705123996e-15 
   48       1.896749126522e-10       1.442981018038e-14       1.126150844695e-13       9.024152202513e-17       5.616563903780e-11       6.553101041155e-12      -8.246911554785e-15 
   49       1.924442515436e-10       1.541866030617e-14       9.006731798233e-14       9.405903192774e-17       5.373318914441e-11       6.290352680009e-12      -8.343452031052e-15 
   50       1.952342940002e-10       1.644721404129e-14       6.582094875844e-14       9.795668405049e-17       5.143007600101e-11       6.041628888166e-12      -8.485924228002e-15 
   51       1.980476703941e-10       1.751573089131e-14       3.984453972014e-14       1.019344238028e-16       4.925200069420e-11       5.806507213811e-12      -8.678873229209e-15 
   52       2.008876155621e-10       1.862449801599e-14       1.209703256587e-14       1.059921842250e-16       4.719690605639e-11       5.584633669561e-12      -8.913978174156e-15 
   53       2.037560109598e-10       1.977376415599e-14      -1.746468034349e-14       1.101298855537e-16       4.525806127997e-11       5.375118916727e-12      -9.180901917147e-15 
   54       2.066532628901e-10       2.096373879418e-14      -4.888594448159e-14       1.143474349116e-16       4.342374736230e-11       5.176502574707e-12      -9.467183217389e-15 
   55       2.095790322089e-10       2.219455736514e-14      -8.220600995196e-14       1.186447336141e-16       4.168083207646e-11       4.987198441479e-12      -9.759585496821e-15 
   56       2.125349146829e-10       2.346616868435e-14      -1.174301758392e-13       1.230217019240e-16       4.002725549146e-11       4.807041437673e-12      -1.004878246219e-14 
   57       2.155222131987e-10       2.477841808497e-14      -1.545510560839e-13       1.274782599028e-16       3.846209515560e-11       4.636062441720e-12      -1.032564765456e-14 
   58       2.185410579583e-10       2.613107680504e-14      -1.935563545078e-13       1.320143203200e-16       3.698178885345e-11       4.474024463477e-12      -1.057984991579e-14 
   59       2.215903178829e-10       2.752383982604e-14      -2.344287212966e-13       1.366297886388e-16       3.557997159085e-11       4.320405690414e-12      -1.079980232802e-14 
   60       2.246675120159e-10       2.895632371136e-14      -2.771456094821e-13       1.413245630033e-16       3.424731257992e-11       4.174382533816e-12      -1.097261115313e-14 
   61       2.277700071341e-10       3.042805374357e-14      -3.216838991544e-13       1.460985485303e-16       3.297410557811e-11       4.035069281126e-12      -1.108701694081e-14 
   62       2.308991251367e-10       3.193842685220e-14      -3.680353076833e-13       1.509517039648e-16       3.175908812622e-11       3.902338267153e-12      -1.114310480474e-14 
   63       2.340568045837e-10       3.348673649124e-14      -4.161941995536e-13       1.558840055206e-16       3.060232161906e-11       3.776154552082e-12      -1.114469303354e-14 
   64       2.372443490041e-10       3.507218015463e-14      -4.661531314704e-13       1.608954339302e-16       2.950253847797e-11       3.656326922976e-12      -1.109657626170e-14 
   65       2.404623791101e-10       3.669385687522e-14      -5.179028601175e-13       1.659859748854e-16       2.845706649767e-11       3.542499081884e-12      -1.100456934839e-14 
   66       2.437107850112e-10       3.835076472379e-14      -5.714323499165e-13       1.711556194778e-16       2.746175319318e-11       3.434140833959e-12      -1.087555125610e-14 
   67       2.469886784280e-10       4.004179830797e-14      -6.267287807866e-13       1.764043646387e-16       2.651089014661e-11       3.330539275567e-12      -1.071750892943e-14 
   68       2.502950722586e-10       4.176583445423e-14      -6.837764605523e-13       1.817322218146e-16       2.559873685710e-11       3.230984826056e-12      -1.053846916571e-14 
   69       2.536311859893e-10       4.352201500487e-14      -7.425532889213e-13       1.871392440493e-16       2.472461995054e-11       3.135392792385e-12      -1.034294482055e-14 
   70       2.569985237222e-10       4.530951709344e-14      -8.030335876627e-13       1.926255052052e-16       2.388873604474e-11       3.043792498473e-12      -1.013484402709e-14 
   71       2.603981594952e-10       4.712746979056e-14      -8.651891126707e-13       1.981910928540e-16       2.309060954424e-11       2.956139825099e-12      -9.918533652414e-15 
   72       2.638307080983e-10       4.897495385816e-14      -9.289890337096e-13       2.038361089274e-16       2.232905789515e-11       2.872313381236e-12      -9.698854736216e-15 
   73       2.672962958901e-10       5.085100150379e-14      -9.943999141593e-13       2.095606703682e-16       2.160215684006e-11       2.792110675376e-12      -9.481137929392e-15 
   74       2.707945316142e-10       5.275459613492e-14      -1.061385690760e-12       2.153649097811e-16       2.090720567287e-11       2.715244286856e-12      -9.271218932677e-15 
