#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.089410488263e+00       1.600313493850e-05      -1.202613871832e+00       2.100701725114e-04       4.222002814174e-08       1.055500703543e-07       1.193796650816e-13       2.111001407087e-08      -9.019604038737e-01       2.100701725114e-04       6.108328280692e-01       6.995954239638e-01      -1.202613871831e+00       2.100220269120e-04       1.991135373517e-04      -1.202613871831e+00       2.100220269379e-04      -9.019604038736e-01       2.100220270186e-04      -9.019604038738e-01       2.101673182724e-04 
       7.089411787293e+00       1.600313790830e-05      -1.202613885672e+00       2.100702128052e-04       4.222005190662e-08       1.055501297666e-07       1.193797765862e-13       2.111002595331e-08      -9.019604142537e-01       2.100702128052e-04       6.108328252100e-01       6.995954205948e-01      -1.202613885671e+00       2.100220671791e-04       1.991136100972e-04      -1.202613885671e+00       2.100220672309e-04      -9.019604142535e-01       2.100220673921e-04      -9.019604142539e-01       2.101673586193e-04 
       7.089413086323e+00       1.600314087809e-05      -1.202613899512e+00       2.100702530989e-04       4.222007567152e-08       1.055501891788e-07       1.193798880909e-13       2.111003783576e-08      -9.019604246336e-01       2.100702530989e-04       6.108328223508e-01       6.995954172258e-01      -1.202613899511e+00       2.100221074463e-04       1.991136828427e-04      -1.202613899511e+00       2.100221075239e-04      -9.019604246334e-01       2.100221077654e-04      -9.019604246340e-01       2.101673989661e-04 
       7.089426076628e+00       1.600317057602e-05      -1.202614037911e+00       2.100706560366e-04       4.222031332096e-08       1.055507833024e-07       1.193810031424e-13       2.111015666048e-08      -9.019605284334e-01       2.100706560366e-04       6.108327937588e-01       6.995953835355e-01      -1.202614037910e+00       2.100225101177e-04       1.991144102982e-04      -1.202614037910e+00       2.100225104541e-04      -9.019605284326e-01       2.100225114905e-04      -9.019605284351e-01       2.101678024346e-04 
       7.089439066932e+00       1.600320027396e-05      -1.202614176310e+00       2.100710589743e-04       4.222055097130e-08       1.055513774283e-07       1.193821182022e-13       2.111027548565e-08      -9.019606322328e-01       2.100710589743e-04       6.108327651670e-01       6.995953498453e-01      -1.202614176308e+00       2.100229127890e-04       1.991151377552e-04      -1.202614176308e+00       2.100229133846e-04      -9.019606322313e-01       2.100229151998e-04      -9.019606322357e-01       2.101682059030e-04 
       7.089452057236e+00       1.600322997189e-05      -1.202614314709e+00       2.100714619119e-04       4.222078862252e-08       1.055519715563e-07       1.193832332704e-13       2.111039431126e-08      -9.019607360316e-01       2.100714619119e-04       6.108327365753e-01       6.995953161553e-01      -1.202614314706e+00       2.100233154603e-04       1.991158652135e-04      -1.202614314706e+00       2.100233163152e-04      -9.019607360295e-01       2.100233188937e-04      -9.019607360358e-01       2.101686093714e-04 
       7.089465047540e+00       1.600325966983e-05      -1.202614453106e+00       2.100718648494e-04       4.222102627463e-08       1.055525656866e-07       1.193843483469e-13       2.111051313731e-08      -9.019608398298e-01       2.100718648494e-04       6.108327079838e-01       6.995952824656e-01      -1.202614453103e+00       2.100237181315e-04       1.991165926732e-04      -1.202614453103e+00       2.100237192460e-04      -9.019608398271e-01       2.100237225722e-04      -9.019608398352e-01       2.101690128397e-04 
       7.089594950583e+00       1.600355664927e-05      -1.202615837036e+00       2.100758942200e-04       4.222340284419e-08       1.055585071105e-07       1.193954995697e-13       2.111170142209e-08      -9.019618777770e-01       2.100758942200e-04       6.108324220783e-01       6.995949455796e-01      -1.202615837024e+00       2.100277448387e-04       1.991238673469e-04      -1.202615837024e+00       2.100277485610e-04      -9.019618777681e-01       2.100277586172e-04      -9.019618777951e-01       2.101730475182e-04 
       7.089724853625e+00       1.600385362884e-05      -1.202617220882e+00       2.100799235822e-04       4.222577950194e-08       1.055644487549e-07       1.194066516250e-13       2.111288975097e-08      -9.019629156615e-01       2.100799235822e-04       6.108321361907e-01       6.995946087147e-01      -1.202617220862e+00       2.100317715375e-04       1.991311421600e-04      -1.202617220862e+00       2.100317778870e-04      -9.019629156463e-01       2.100317934333e-04      -9.019629156922e-01       2.101770821885e-04 
       7.089854756668e+00       1.600415060855e-05      -1.202618604644e+00       2.100839529360e-04       4.222815624789e-08       1.055703906197e-07       1.194178045129e-13       2.111407812395e-08      -9.019639534832e-01       2.100839529361e-04       6.108318503208e-01       6.995942718708e-01      -1.202618604616e+00       2.100357982278e-04       1.991384171125e-04      -1.202618604616e+00       2.100358072206e-04      -9.019639534618e-01       2.100358272340e-04      -9.019639535265e-01       2.101811168506e-04 
