# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381933486431e-10       4.177325771346e-15       3.515564329098e-13       2.309885277736e-19       8.133080236960e-09       4.536420035075e-10      -1.843369752860e-12 
    3       1.306810968538e-10       5.354786601172e-15       3.955509794965e-13       4.620719902285e-19       5.066262599378e-09       3.221388314897e-10      -1.394802407603e-12 
    4       1.236114357422e-10       4.629466688625e-15       3.698429378609e-13       7.703290505638e-19       3.532559986600e-09       2.439242750128e-10      -9.125652456386e-13 
    5       1.183199682279e-10       3.087289404142e-15       3.149197810515e-13       1.155881057781e-18       2.639170679890e-09       1.926599723592e-10      -5.068849221350e-13 
    6       1.146915061299e-10       1.726246247508e-15       2.535960283471e-13       1.618875324051e-18       2.061124091519e-09       1.567338748872e-10      -2.080817390503e-13 
    7       1.123268320385e-10       9.337581797646e-16       1.990889556858e-13       2.159482404739e-18       1.662022285762e-09       1.303694251174e-10      -1.763643772566e-14 
    8       1.109474183887e-10       6.039013627215e-16       1.571718478223e-13       2.777893021401e-18       1.373774184314e-09       1.104009829656e-10       7.941242797021e-14 
    9       1.103038232846e-10       4.859180964054e-16       1.291191571475e-13       3.474314718567e-18       1.157685729470e-09       9.492688749754e-11       1.064230283673e-13 
   10       1.101662790890e-10       4.150140630418e-16       1.136050220758e-13       4.248968351545e-18       9.903851163872e-10       8.267415146351e-11       8.927552108816e-14 
   11       1.104744819609e-10       3.497603646698e-16       1.079452664962e-13       5.102084505511e-18       8.334063705307e-10       7.301613636527e-11       5.207151858100e-14 
   12       1.110780573844e-10       3.058088021455e-16       1.091060371524e-13       6.033899945685e-18       7.283710550991e-10       6.456885197226e-11       1.235525942170e-14 
   13       1.119265195915e-10       2.941484033555e-16       1.143981569107e-13       7.044654194543e-18       6.421270369121e-10       5.770499697708e-11      -1.792986967537e-14 
   14       1.129715086301e-10       3.067936662350e-16       1.217915088009e-13       8.134586324828e-18       5.703578217231e-10       5.172281740256e-11      -3.453351806841e-14 
   15       1.142010838521e-10       3.320480031601e-16       1.299696392216e-13       9.303932047070e-18       5.099344273519e-10       4.668924069007e-11      -3.760503732804e-14 
   16       1.155393826446e-10       3.674109541316e-16       1.383536396304e-13       1.055292115763e-17       4.585505262560e-10       4.234976824668e-11      -3.103886456276e-14 
   17       1.170140316560e-10       4.182410292839e-16       1.467093569818e-13       1.188177539857e-17       4.144637753304e-10       3.856334142892e-11      -2.001221378845e-14 
   18       1.185621494142e-10       4.900937037622e-16       1.552019192650e-13       1.329070658581e-17       3.761916408805e-10       3.526214055898e-11      -9.457769330418e-15 
   19       1.201949066947e-10       5.833360213117e-16       1.640662437602e-13       1.477991627434e-17       3.431308316131e-10       3.239930190616e-11      -2.027207351418e-15 
   20       1.219048635504e-10       6.959490822037e-16       1.734990675893e-13       1.634959301149e-17       3.140074417823e-10       2.985964181035e-11       5.266478795147e-16 
   21       1.236935821032e-10       8.273134504519e-16       1.834746190272e-13       1.799991479603e-17       2.883654572438e-10       2.759609068394e-11      -1.213263346963e-15 
   22       1.255351123524e-10       9.769448015523e-16       1.938070363995e-13       1.973104606760e-17       2.655933447419e-10       2.555042191924e-11      -5.457959122524e-15 
   23       1.274340562259e-10       1.144880271084e-15       2.041231108897e-13       2.154314158322e-17       2.453790676622e-10       2.371349877213e-11      -1.043352940692e-14 
   24       1.293837435724e-10       1.331208046473e-15       2.139571609805e-13       2.343634335414e-17       2.272562193571e-10       2.206873466783e-11      -1.426172415240e-14 
   25       1.313865071424e-10       1.536368794540e-15       2.230650753865e-13       2.541078618485e-17       2.110123107631e-10       2.059636341925e-11      -1.613729312724e-14 
   26       1.334316080063e-10       1.761049242494e-15       2.312693281511e-13       2.746659397967e-17       1.963540177543e-10       1.926118533245e-11      -1.576665148175e-14 
   27       1.355136937909e-10       2.006864038856e-15       2.384474077809e-13       2.960388506254e-17       1.831059626628e-10       1.804607146094e-11      -1.377859757912e-14 
