# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381928755306e-10       4.177094782774e-15       3.515564369118e-13       0.000000000000e+00       8.133080236960e-09       4.536420035075e-10      -1.843369752860e-12 
    3       1.306801529215e-10       5.354324528753e-15       3.955509973340e-13       0.000000000000e+00       5.066262599378e-09       3.221388314897e-10      -1.394802407603e-12 
    4       1.236098675541e-10       4.628696357473e-15       3.698429891245e-13       0.000000000000e+00       3.532559986600e-09       2.439242750128e-10      -9.125652456386e-13 
    5       1.183176252335e-10       3.086133515892e-15       3.149198978631e-13       0.000000000000e+00       2.639170679890e-09       1.926599723592e-10      -5.068849221350e-13 
    6       1.146882412428e-10       1.724627352589e-15       2.535962581016e-13       0.000000000000e+00       2.061124091519e-09       1.567338748872e-10      -2.080817390503e-13 
    7       1.123225021279e-10       9.315986518266e-16       1.990893635560e-13       0.000000000000e+00       1.662022285762e-09       1.303694251174e-10      -1.763643772566e-14 
    8       1.109418846726e-10       6.011233757112e-16       1.571725189934e-13       0.000000000000e+00       1.373774184314e-09       1.104009829656e-10       7.941242797021e-14 
    9       1.102969516183e-10       4.824436047907e-16       1.291201987582e-13       0.000000000000e+00       1.157685729470e-09       9.492688749754e-11       1.064230283673e-13 
   10       1.101579401450e-10       4.107647856901e-16       1.136065648515e-13       0.000000000000e+00       9.903851163872e-10       8.267415146351e-11       8.927552108816e-14 
   11       1.104645513016e-10       3.446577728788e-16       1.079474660672e-13       0.000000000000e+00       8.334063705307e-10       7.301613636527e-11       5.207151858100e-14 
   12       1.110664154299e-10       2.997741122993e-16       1.091090750599e-13       0.000000000000e+00       7.283710550991e-10       6.456885197226e-11       1.235525942170e-14 
   13       1.119130514917e-10       2.871025746366e-16       1.144022413094e-13       0.000000000000e+00       6.421270369121e-10       5.770499697708e-11      -1.792986967537e-14 
   14       1.129561040510e-10       2.986574037591e-16       1.217968748733e-13       0.000000000000e+00       5.703578217231e-10       5.172281740256e-11      -3.453351806841e-14 
   15       1.141836366885e-10       3.227417668182e-16       1.299765493245e-13       0.000000000000e+00       5.099344273519e-10       4.668924069007e-11      -3.760503732804e-14 
   16       1.155197906770e-10       3.568549733206e-16       1.383623831976e-13       0.000000000000e+00       4.585505262560e-10       4.234976824668e-11      -3.103886456276e-14 
   17       1.169921961656e-10       4.063553235863e-16       1.467202502084e-13       0.000000000000e+00       4.144637753304e-10       3.856334142892e-11      -2.001221378845e-14 
   18       1.185379747684e-10       4.767981093818e-16       1.552153045889e-13       0.000000000000e+00       3.761916408805e-10       3.526214055898e-11      -9.457769330418e-15 
   19       1.201682999669e-10       5.685502237980e-16       1.640824892307e-13       0.000000000000e+00       3.431308316131e-10       3.239930190616e-11      -2.027207351418e-15 
   20       1.218757340655e-10       6.795926532828e-16       1.735185659700e-13       0.000000000000e+00       3.140074417823e-10       2.985964181035e-11       5.266478795147e-16 
   21       1.236618411303e-10       8.093058907451e-16       1.834977869314e-13       0.000000000000e+00       2.883654572438e-10       2.759609068394e-11      -1.213263346963e-15 
   22       1.255006727124e-10       9.572055873297e-16       1.938343131394e-13       0.000000000000e+00       2.655933447419e-10       2.555042191924e-11      -5.457959122524e-15 
   23       1.273968320901e-10       1.123328903765e-15       2.041549573893e-13       0.000000000000e+00       2.453790676622e-10       2.371349877213e-11      -1.043352940692e-14 
   24       1.293436501749e-10       1.307764106398e-15       2.139940583936e-13       0.000000000000e+00       2.272562193571e-10       2.206873466783e-11      -1.426172415240e-14 
   25       1.313434607340e-10       1.510951993370e-15       2.231075237796e-13       0.000000000000e+00       2.110123107631e-10       2.059636341925e-11      -1.613729312724e-14 
   26       1.333855257018e-10       1.733579481214e-15       2.313178448808e-13       0.000000000000e+00       1.963540177543e-10       1.926118533245e-11      -1.576665148175e-14 
   27       1.354644936385e-10       1.977261462072e-15       2.385025258653e-13       0.000000000000e+00       1.831059626628e-10       1.804607146094e-11      -1.377859757912e-14 
   28       1.375680960401e-10       2.243940738885e-15       2.445844696810e-13       0.000000000000e+00       1.710402020896e-10       1.693192624315e-11      -1.117974500567e-14 
   29       1.397055612435e-10       2.535145345538e-15       2.496094591686e-13       0.000000000000e+00       1.600954519774e-10       1.591684633927e-11      -8.618205071809e-15 
   30       1.418816519228e-10       2.852324114280e-15       2.536970774673e-13       0.000000000000e+00       1.501545513526e-10       1.499521862801e-11      -6.744221544438e-15 
   31       1.440906541712e-10       3.196856935927e-15       2.569751098658e-13       0.000000000000e+00       1.410151567632e-10       1.415269570678e-11      -6.156788328453e-15 
   32       1.463355204509e-10       3.569597960718e-15       2.594157627360e-13       0.000000000000e+00       1.326302711879e-10       1.338065924669e-11      -6.676291205102e-15 
   33       1.486132180541e-10       3.971145068429e-15       2.609380027905e-13       0.000000000000e+00       1.249407575996e-10       1.266542009231e-11      -7.786365261829e-15 
   34       1.509138237518e-10       4.402064869314e-15       2.614424585755e-13       0.000000000000e+00       1.178392017183e-10       1.198991909684e-11      -8.911203686238e-15 
   35       1.532395906904e-10       4.863308472628e-15       2.607898691267e-13       0.000000000000e+00       1.112893902481e-10       1.135585463006e-11      -9.770320930509e-15 
   36       1.555908209976e-10       5.355934901514e-15       2.588123282583e-13       0.000000000000e+00       1.052389192272e-10       1.076853347077e-11      -1.013942186694e-14 
   37       1.579635415598e-10       5.880938767235e-15       2.553523101248e-13       0.000000000000e+00       9.960921074455e-11       1.023032503459e-11      -9.837448134011e-15 
   38       1.603617684923e-10       6.439037001787e-15       2.503832229758e-13       0.000000000000e+00       9.438581238030e-11       9.739184180167e-12      -9.011127069757e-15 
   39       1.627881484824e-10       7.030804662241e-15       2.439289773001e-13       0.000000000000e+00       8.955223634725e-11       9.289112937503e-12      -7.948085020211e-15 
