# Matter power spectrum P(k) at redshift z=0
# for k=1.04212e-05 to 1.08698 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042117194981e-05       4.832760574785e+01 
       2.327119245003e-05       1.050140645129e+02 
       3.616617648664e-05       1.607763496577e+02 
       4.914065227763e-05       2.161863918796e+02 
       6.222971633810e-05       2.715736049564e+02 
       7.546934493058e-05       3.271872614817e+02 
       8.889671542738e-05       3.832420639913e+02 
       1.025505418403e-04       4.399368790137e+02 
       1.164714288058e-04       4.974643585053e+02 
       1.307022483465e-04       5.560168109627e+02 
       1.452885437386e-04       6.157903101764e+02 
       1.602789647556e-04       6.769878935062e+02 
       1.757257383888e-04       7.398223412277e+02 
       1.916851787871e-04       8.045187040760e+02 
       2.082182395182e-04       8.713167568462e+02 
       2.253911102131e-04       9.404734221413e+02 
       2.432758580344e-04       1.012265190816e+03 
       2.619511120147e-04       1.086990625418e+03 
       2.815027848561e-04       1.164972725863e+03 
       3.020248219703e-04       1.246561551057e+03 
       3.236199609787e-04       1.332136334158e+03 
       3.464004762044e-04       1.422107873512e+03 
       3.704888714942e-04       1.516919923015e+03 
       3.960184707535e-04       1.617050669176e+03 
       4.231338388669e-04       1.723012738460e+03 
       4.519909466977e-04       1.835352442582e+03 
       4.827569738950e-04       1.954647219846e+03 
       5.156096247040e-04       2.081500949195e+03 
       5.507358188101e-04       2.216536864008e+03 
       5.883296170912e-04       2.360387259738e+03 
       6.285892581544e-04       2.513679969678e+03 
       6.717132234892e-04       2.677021204943e+03 
       7.178953234259e-04       2.850975026401e+03 
       7.673189050026e-04       3.036040103226e+03 
       8.201504204362e-04       3.232624762969e+03 
       8.765327442159e-04       3.441022407838e+03 
       9.365787594259e-04       3.661388033872e+03 
       1.000365813963e-03       3.893721732491e+03 
       1.067931641304e-03       4.137855973117e+03 
       1.139272229882e-03       4.393453627107e+03 
       1.214341917399e-03       4.660014287247e+03 
       1.293055717638e-03       4.936890027996e+03 
       1.375293613868e-03       5.223287786622e+03 
       1.460906333327e-03       5.518335620174e+03 
       1.549721993463e-03       5.821116060373e+03 
       1.641552995969e-03       6.130656345625e+03 
       1.736202623785e-03       6.445973578469e+03 
       1.833470935156e-03       6.766100364532e+03 
       1.933159708677e-03       7.090101721434e+03 
       2.035076341678e-03       7.417090615385e+03 
       2.139036721586e-03       7.746237339584e+03 
       2.244867168791e-03       8.076774964338e+03 
       2.352405592457e-03       8.408002992393e+03 
       2.461502014928e-03       8.739286350515e+03 
       2.572018615022e-03       9.070054433679e+03 
       2.683829423603e-03       9.399796089328e+03 
       2.796819782915e-03       9.728057989406e+03 
       2.910885658346e-03       1.005443832628e+04 
       3.025932870296e-03       1.037858430608e+04 
       3.141876295728e-03       1.070018506321e+04 
       3.258639074286e-03       1.101897052175e+04 
       3.376151842326e-03       1.133470388780e+04 
       3.494352009480e-03       1.164718146265e+04 
       3.613183086000e-03       1.195622577363e+04 
       3.732594064578e-03       1.226168654622e+04 
       3.852538857194e-03       1.256343330877e+04 
       3.972975785531e-03       1.286135738431e+04 
       4.093867122157e-03       1.315536637739e+04 
       4.215178678990e-03       1.344538561032e+04 
       4.336879439196e-03       1.373135000998e+04 
       4.458941228594e-03       1.401321353981e+04 
       4.581338422721e-03       1.429093524937e+04 
       4.704047685917e-03       1.456448175797e+04 
       4.827047739028e-03       1.483378682160e+04 
       4.950319152600e-03       1.509894069176e+04 
       5.073844162749e-03       1.535985582369e+04 
       5.197606507142e-03       1.561655166566e+04 
       5.321591278813e-03       1.586906871989e+04 
       5.445784795775e-03       1.611741986333e+04 
       5.570174484627e-03       1.636155594423e+04 
       5.694748776554e-03       1.660077869886e+04 
       5.819497014299e-03       1.683657577923e+04 
       5.944409368863e-03       1.706823298237e+04 
       6.069476764840e-03       1.729572400940e+04 
       6.194690813395e-03       1.751921156802e+04 
       6.320043752048e-03       1.773879205348e+04 
       6.445528390495e-03       1.795452658942e+04 
       6.571138061809e-03       1.816575807295e+04 
       6.696866578432e-03       1.837311867587e+04 
       6.822708192431e-03       1.857650132938e+04 
       6.948657559573e-03       1.877607082262e+04 
       7.074709706804e-03       1.897178463312e+04 
       7.200860002773e-03       1.916362456781e+04 
       7.327104131095e-03       1.935167610829e+04 
       7.453438066052e-03       1.953581523682e+04 
       7.579858050507e-03       1.971642826803e+04 
       7.706360575780e-03       1.989384006842e+04 
       7.832942363318e-03       2.006707841607e+04 
       7.959600347960e-03       2.023667885439e+04 
       8.086331662649e-03       2.040269917491e+04 
       8.213133624459e-03       2.056522959000e+04 
       8.340003721795e-03       2.072424078113e+04 
       8.466939602669e-03       2.087977451606e+04 
       8.593939063946e-03       2.103188037551e+04 
       8.721000041467e-03       2.118059743406e+04 
       8.848120600977e-03       2.132595874562e+04 
       8.975298929778e-03       2.146795804194e+04 
       9.102533329045e-03       2.160670284735e+04 
       9.229822206744e-03       2.174220422653e+04 
       9.357164071106e-03       2.187448528241e+04 
       9.484557524600e-03       2.200306751330e+04 
       9.612001258369e-03       2.212958377691e+04 
       9.739494047087e-03       2.225248479370e+04 
       9.867034744199e-03       2.237222709730e+04 
       9.994622277523e-03       2.248904851214e+04 
       1.012225564517e-02       2.260272762493e+04 
       1.024993391176e-02       2.271349199696e+04 
       1.037765620493e-02       2.282140191455e+04 
       1.050542171207e-02       2.292631266672e+04 
       1.063322967733e-02       2.302832763904e+04 
       1.076107939879e-02       2.312762012170e+04 
       1.088897022588e-02       2.322393811364e+04 
       1.101690155693e-02       2.331760678119e+04 
       1.114487283699e-02       2.340850587598e+04 
       1.127288355566e-02       2.349670231922e+04 
       1.140093324519e-02       2.358220727914e+04 
       1.152902147868e-02       2.366505929339e+04 
       1.165714786837e-02       2.374529878650e+04 
       1.178531206410e-02       2.382296065441e+04 
       1.191351375183e-02       2.389805318817e+04 
       1.204175265231e-02       2.397070096199e+04 
       1.217002851982e-02       2.404064850750e+04 
       1.229834114097e-02       2.410826390805e+04 
       1.242669033367e-02       2.417340438092e+04 
       1.255507594604e-02       2.423616884834e+04 
       1.268349785556e-02       2.429653146515e+04 
       1.281195596813e-02       2.435459484453e+04 
       1.294045021731e-02       2.441034817515e+04 
       1.306898056354e-02       2.446367598671e+04 
       1.319754699348e-02       2.451478315046e+04 
       1.332614951934e-02       2.456364837068e+04 
       1.345478817834e-02       2.461032151886e+04 
       1.358346303213e-02       2.465488346295e+04 
       1.371217416630e-02       2.469714493661e+04 
       1.384092168995e-02       2.473730070274e+04 
       1.396970573525e-02       2.477531450109e+04 
       1.409852645708e-02       2.481132239397e+04 
       1.422738403271e-02       2.484526560759e+04 
       1.435627866144e-02       2.487714394709e+04 
       1.448521056437e-02       2.490700156110e+04 
       1.461417998417e-02       2.493491432683e+04 
       1.474318718481e-02       2.496086599562e+04 
       1.487223245146e-02       2.498490176313e+04 
       1.500131609024e-02       2.500696939526e+04 
       1.513043842818e-02       2.502718982256e+04 
       1.525959981304e-02       2.504556942905e+04 
       1.538880061327e-02       2.506209251575e+04 
       1.551804121797e-02       2.507677929369e+04 
       1.564732203679e-02       2.508971582554e+04 
       1.577664349999e-02       2.510086396307e+04 
       1.590600605838e-02       2.511032806301e+04 
       1.603541018341e-02       2.511802468013e+04 
       1.616485636718e-02       2.512403753413e+04 
       1.629434512251e-02       2.512838533533e+04 
       1.642387698305e-02       2.513103333832e+04 
       1.655345250336e-02       2.513205015195e+04 
       1.668307225905e-02       2.513157380086e+04 
       1.681273684690e-02       2.512943105191e+04 
       1.694244688506e-02       2.512582285312e+04 
       1.707220301318e-02       2.512054477169e+04 
       1.720200589264e-02       2.511377967969e+04 
       1.733185620673e-02       2.510551900435e+04 
       1.746175466090e-02       2.509582863119e+04 
       1.759170198301e-02       2.508465861102e+04 
       1.772169892357e-02       2.507202103210e+04 
       1.785174625601e-02       2.505806908478e+04 
       1.798184477703e-02       2.504181337256e+04 
       1.811199530683e-02       2.502590658049e+04 
       1.824219868951e-02       2.500694849901e+04 
       1.837245579338e-02       2.498749093380e+04 
       1.850276751130e-02       2.496684147482e+04 
       1.863313476112e-02       2.494545953262e+04 
       1.876355848602e-02       2.492203793002e+04 
       1.889403965493e-02       2.489683727934e+04 
       1.902457926298e-02       2.487157971743e+04 
       1.915517833195e-02       2.484469010202e+04 
       1.928583791068e-02       2.481550532289e+04 
       1.941655907564e-02       2.478588987093e+04 
       1.954734293135e-02       2.475655338533e+04 
       1.967819061095e-02       2.472475390095e+04 
       1.980910327672e-02       2.469182504244e+04 
       1.994008212062e-02       2.465739635732e+04 
       2.007112836492e-02       2.462243074046e+04 
       2.020224326272e-02       2.458614850110e+04 
       2.033342809866e-02       2.454996152931e+04 
       2.046468418945e-02       2.451182491189e+04 
       2.059601288464e-02       2.447268051798e+04 
       2.072741556722e-02       2.443151745349e+04 
       2.085889365435e-02       2.439060937279e+04 
       2.099044859811e-02       2.434923954155e+04 
       2.112208188619e-02       2.430554426711e+04 
       2.125379504275e-02       2.426140776355e+04 
       2.138558962913e-02       2.421659622614e+04 
       2.151746724474e-02       2.417086468783e+04 
       2.164942952786e-02       2.412429691904e+04 
       2.178147815657e-02       2.407697359127e+04 
       2.191361484960e-02       2.402868371009e+04 
       2.204584136729e-02       2.397947407001e+04 
       2.217815951257e-02       2.392944875222e+04 
       2.231057113191e-02       2.387881598384e+04 
       2.244307811637e-02       2.382730007054e+04 
       2.257568240266e-02       2.377491174524e+04 
       2.270838597421e-02       2.372197626980e+04 
       2.284119086228e-02       2.366869221326e+04 
       2.297409914717e-02       2.361380602185e+04 
       2.310711295936e-02       2.355933750435e+04 
       2.324023448077e-02       2.350273883837e+04 
       2.337346594601e-02       2.344629244388e+04 
       2.350680964371e-02       2.338894308153e+04 
       2.364026791786e-02       2.333136571637e+04 
       2.377384316921e-02       2.327285016150e+04 
       2.390753785669e-02       2.321369309339e+04 
       2.404135449893e-02       2.315408703788e+04 
       2.417529567575e-02       2.309369496663e+04 
       2.430936402980e-02       2.303353490839e+04 
       2.444356226811e-02       2.297151755943e+04 
       2.457789316385e-02       2.290956211759e+04 
       2.471235955804e-02       2.284776765922e+04 
       2.484696436136e-02       2.278428109518e+04 
       2.498171055596e-02       2.272077513842e+04 
       2.511660119745e-02       2.265651146636e+04 
       2.525163941685e-02       2.259207073215e+04 
       2.538682842261e-02       2.252780906367e+04 
       2.552217150277e-02       2.246179830558e+04 
       2.565767202713e-02       2.239594500659e+04 
       2.579333344951e-02       2.232971236702e+04 
       2.592915931009e-02       2.226307981631e+04 
       2.606515323785e-02       2.219579218129e+04 
       2.620131895305e-02       2.212879985874e+04 
       2.633766026982e-02       2.206035966408e+04 
       2.647418109888e-02       2.199203843956e+04 
       2.661088545025e-02       2.192344674164e+04 
       2.674777743619e-02       2.185439917389e+04 
       2.688486127416e-02       2.178548658689e+04 
       2.702214128987e-02       2.171538076034e+04 
       2.715962192052e-02       2.164577800441e+04 
       2.729730771808e-02       2.157542199216e+04 
       2.743520335274e-02       2.150458929492e+04 
       2.757331361647e-02       2.143361321886e+04 
       2.771164342671e-02       2.136245409084e+04 
       2.785019783021e-02       2.129124366069e+04 
       2.798898200698e-02       2.121935323513e+04 
       2.812800127442e-02       2.114753469448e+04 
       2.826726109166e-02       2.107519090165e+04 
       2.840676706392e-02       2.100271639371e+04 
       2.854652494721e-02       2.093008745857e+04 
       2.868654065308e-02       2.085725550494e+04 
       2.882682025363e-02       2.078414473598e+04 
       2.896736998673e-02       2.071122462691e+04 
       2.910819626137e-02       2.063745548290e+04 
       2.924930566332e-02       2.056383931264e+04 
       2.939070496093e-02       2.049040715586e+04 
       2.953240111127e-02       2.041609642947e+04 
       2.967440126642e-02       2.034238353207e+04 
       2.981671278011e-02       2.026767967429e+04 
       2.995934321457e-02       2.019325102297e+04 
       3.010230034773e-02       2.011868006889e+04 
       3.024559218067e-02       2.004408140287e+04 
       3.038922694545e-02       1.996955417996e+04 
       3.053321311322e-02       1.989435025786e+04 
       3.067755940276e-02       1.981940913446e+04 
       3.082227478932e-02       1.974425643659e+04 
       3.096736851393e-02       1.966907037526e+04 
       3.111285009304e-02       1.959381786071e+04 
       3.125872932870e-02       1.951872012125e+04 
       3.140501631914e-02       1.944336642389e+04 
       3.155172146987e-02       1.936773218600e+04 
       3.169885550525e-02       1.929193439517e+04 
       3.184642948072e-02       1.921636877317e+04 
       3.199445479546e-02       1.914085583980e+04 
       3.214294320579e-02       1.906504165487e+04 
       3.229190683916e-02       1.898928369563e+04 
       3.244135820881e-02       1.891353757060e+04 
       3.259131022924e-02       1.883789505152e+04 
       3.274177623234e-02       1.876187707998e+04 
       3.289276998441e-02       1.868596477828e+04 
       3.304430570409e-02       1.861014442922e+04 
       3.319639808105e-02       1.853439281082e+04 
       3.334906229587e-02       1.845843394868e+04 
       3.350231404079e-02       1.838256737809e+04 
       3.365616954168e-02       1.830646865709e+04 
       3.381064558112e-02       1.823058952414e+04 
       3.396575952276e-02       1.815485183217e+04 
       3.412152933706e-02       1.807899713990e+04 
       3.427797362836e-02       1.800305744284e+04 
       3.443511166358e-02       1.792708483683e+04 
       3.459296340251e-02       1.785150486158e+04 
       3.475154952978e-02       1.777541415309e+04 
       3.491089148878e-02       1.769964872896e+04 
       3.507101151755e-02       1.762403979765e+04 
       3.523193268675e-02       1.754829037384e+04 
       3.539367893994e-02       1.747253296402e+04 
       3.555627513640e-02       1.739685262332e+04 
       3.571974709643e-02       1.732122266372e+04 
       3.588412164958e-02       1.724555888100e+04 
       3.604942668592e-02       1.716996824659e+04 
       3.621569121056e-02       1.709451767533e+04 
       3.638294540167e-02       1.701904569994e+04 
       3.655122067237e-02       1.694351965505e+04 
       3.672054973667e-02       1.686841714077e+04 
       3.689096667987e-02       1.679280089114e+04 
       3.706250703375e-02       1.671739758714e+04 
       3.723520785695e-02       1.664215526760e+04 
       3.740910782093e-02       1.656677683003e+04 
       3.758424730214e-02       1.649151589996e+04 
       3.776066848065e-02       1.641640561340e+04 
       3.793841544612e-02       1.634132452263e+04 
       3.811753431151e-02       1.626598382023e+04 
       3.829807333535e-02       1.619094960446e+04 
       3.848008305330e-02       1.611591172254e+04 
       3.866361641987e-02       1.604083121762e+04 
       3.884872896126e-02       1.596561694867e+04 
       3.903547894030e-02       1.589078084579e+04 
       3.922392753479e-02       1.581569929078e+04 
       3.941413903038e-02       1.574073807744e+04 
       3.960618102961e-02       1.566563264541e+04 
       3.980012467852e-02       1.559066196889e+04 
       3.999604491292e-02       1.551598180872e+04 
       4.019402072600e-02       1.544081694877e+04 
       4.039413545993e-02       1.536590015126e+04 
       4.059647712364e-02       1.529091757198e+04 
       4.080113873998e-02       1.521554989001e+04 
       4.100821872529e-02       1.514072433784e+04 
       4.121782130516e-02       1.506570991220e+04 
       4.143005697047e-02       1.499037358582e+04 
       4.164504297859e-02       1.491514507593e+04 
       4.186290390488e-02       1.483997488842e+04 
       4.208377225084e-02       1.476468366524e+04 
       4.230778911582e-02       1.468914496685e+04 
       4.253510494026e-02       1.461361445480e+04 
       4.276588032986e-02       1.453817963914e+04 
       4.300028697108e-02       1.446225035072e+04 
       4.323850865041e-02       1.438657762411e+04 
       4.348074239146e-02       1.431039421432e+04 
       4.372719972641e-02       1.423427766478e+04 
       4.397810812094e-02       1.415795355874e+04 
       4.423371257502e-02       1.408142942452e+04 
       4.449427742580e-02       1.400465965801e+04 
       4.476008838327e-02       1.392788271836e+04 
       4.503145483509e-02       1.385051530753e+04 
       4.530871246338e-02       1.377299906646e+04 
       4.559222622445e-02       1.369533062386e+04 
       4.588239375212e-02       1.361736485739e+04 
       4.617964925699e-02       1.353879712729e+04 
       4.648446800890e-02       1.346004756349e+04 
       4.679737150720e-02       1.338079764692e+04 
       4.711893346578e-02       1.330101252288e+04 
       4.744978676692e-02       1.322042196937e+04 
       4.779063157188e-02       1.314005471521e+04 
       4.814224481855e-02       1.305867952949e+04 
